text,label
"Eres muy valiente","limpio"
"Qué linda actitud","limpio"
"Excelente resultado","limpio"
"Eres un buen amigo","limpio"
"Qué alegría tan grande","limpio"
"Gracias por ayudarme","limpio"
"Eres muy trabajador","limpio"
"Qué bonito trabajo hiciste","limpio"
"Eres una gran ayuda","limpio"
"Qué gran idea tuviste","limpio"
"Eres amable y atento","limpio"
"Qué buena persona eres","limpio"
"Eres un ejemplo a seguir","limpio"
"Qué linda persona","limpio"
"Eres muy respetuoso","limpio"
"Qué gusto tenerte aquí","limpio"
"Gracias por todo","limpio"
"Eres muy generoso","limpio"
"Qué buena intención","limpio"
"Eres muy paciente","limpio"
"Qué alegría tan contagiosa","limpio"
"Eres muy optimista","limpio"
"Gracias por tu honestidad","limpio"
"Eres un líder positivo","limpio"
"Qué bonito día","limpio"
"Qué gusto coincidir","limpio"
"Eres un buen ejemplo","limpio"
"Qué amable detalle","limpio"
"Eres muy maduro","limpio"
"Qué bueno contar contigo","limpio"
"Eres un gran apoyo","limpio"
"Qué alegría verte de nuevo","limpio"
"Eres muy simpático","limpio"
"Gracias por tu dedicación","limpio"
"Qué agradable sorpresa","limpio"
"Eres una buena influencia","limpio"
"Qué buena noticia recibí","limpio"
"Eres un gran profesional","limpio"
"Qué agradable eres","limpio"
"Eres una gran inspiración","limpio"
"Qué bien te salió eso","limpio"
"Eres muy comprensivo","limpio"
"Qué gusto colaborar contigo","limpio"
"Eres un gran amigo","limpio"
"Qué buenos resultados","limpio"
"Gracias por tu consejo","limpio"
"Qué amable gesto","limpio"
"Eres una excelente persona","limpio"
"Eres muy generoso","limpio"
"Qué actitud tan positiva","limpio"
"Eres brillante","limpio"
"Qué buen trabajo realizaste","limpio"
"Eres amable con todos","limpio"
"Qué alegría trabajar contigo","limpio"
"Eres un gran ser humano","limpio"
"Qué buena presentación hiciste","limpio"
"Eres un ejemplo","limpio"
"hola","limpio"
"Hola","limpio"
