"text","label"
"Solo un malparido diria eso hoy","ofensivo"
"Que cabron tan grande hoy","ofensivo"
"un poco Que inspirador eres","limpio"
"muy Que optimista persona en serio","limpio"
"un poco Tu maduro es admirable hoy","limpio"
"tan Eres muy dedicado ya","limpio"
"a veces Qué malparido persona hoy","ofensivo"
"tan Qué imbecil persona por favor","ofensivo"
"siempre Eres un autentico burro por favor","ofensivo"
"muy Eres tan idiota ya","ofensivo"
"un poco Eres tan inútil hoy","ofensivo"
"tan Vete, zangano de verdad","ofensivo"
"tan Tu generoso es admirable","limpio"
"realmente Gracias por ser tan respetuoso","limpio"
"realmente Que malparido tan grande","ofensivo"
"Me pareces un tonto por favor","ofensivo"
"realmente Tu optimista es admirable de verdad","limpio"
"un poco No eres más que un imbecil por favor","ofensivo"
"Me pareces un tonto ya","ofensivo"
"tan Eres tan zorra hoy","ofensivo"
"un poco Qué imbecil persona","ofensivo"
"un poco Qué responsable eres de verdad","limpio"
"Qué malparido eres en serio","ofensivo"
"a veces Me parece que eres muy inteligente ya","limpio"
"tan No eres más que un cerdo","ofensivo"
"realmente Me parece que eres muy respetuoso en serio","limpio"
"realmente Me encanta tu valiente ya","limpio"
"Que optimista persona ya","limpio"
"Vete, torpe ya","ofensivo"
"tan Gracias por ser tan amable hoy","limpio"
"muy Gracias por ser tan confiable","limpio"
"Me pareces un inútil en serio","ofensivo"
"un poco considerado","limpio"
"un poco No eres mas que un patetico ya","ofensivo"
"tan Vete, cabron en serio","ofensivo"
"tan Vete a la mierda, manco","ofensivo"
"un poco Gracias por ser tan responsable hoy","limpio"
"muy Me pareces un malparido","ofensivo"
"un poco Qué amable eres de verdad","limpio"
"muy Tu trabajo es muy confiable hoy","limpio"
"tan Que simpatico eres hoy","limpio"
"un poco Menuda gilipollas ya","ofensivo"
"realmente Solo un idiota diria eso por favor","ofensivo"
"Tu trabajo es muy confiable","limpio"
"Qué imbécil persona de verdad","ofensivo"
"Qué burro comentario por favor","ofensivo"
"realmente No sabes hacer nada bien","ofensivo"
"a veces Vete, imbécil","ofensivo"
"Que talentoso persona en serio","limpio"
"siempre Eres muy valiente ya","limpio"
"Eres un autentico estupido por favor","ofensivo"
"muy Que idiota eres en serio","ofensivo"
"a veces Eres tan cabron ya","ofensivo"
"Eres muy responsable por favor","limpio"
"un poco Me parece que eres muy simpático por favor","limpio"
"Pareces un cabron ya","ofensivo"
"a veces Nunca haces algo bien","ofensivo"
"muy Tu trabajo es muy valiente en serio","limpio"
"muy Menuda imbecil hoy","ofensivo"
"un poco Pareces un torpe hoy","ofensivo"
"tan Gracias por ser simpatico por favor","limpio"
"Me parece que eres muy respetuoso de verdad","limpio"
"muy Que imbecil comentario por favor","ofensivo"
"tan Qué maduro persona ya","limpio"
"un poco No eres mas que un imbecil","ofensivo"
"tan Me encanta tu talentoso en serio","limpio"
"muy No eres más que un cabron ya","ofensivo"
"siempre Tu valiente es admirable de verdad","limpio"
"tan Qué burro tan grande ya","ofensivo"
"un poco Gracias por ser simpatico por favor","limpio"
"muy Me encanta tu considerado","limpio"
"realmente Que responsable eres de verdad","limpio"
"realmente Qué manco eres de verdad","ofensivo"
"realmente Gracias por ser dedicado en serio","limpio"
"muy Solo un gilipollas diria eso de verdad","ofensivo"
"a veces Pareces un inutil por favor","ofensivo"
"realmente Gracias por ser talentoso por favor","limpio"
"tan Que subnormal actitud tienes en serio","ofensivo"
"a veces Solo un gilipollas diría eso","ofensivo"
"tan Eres tan basura en serio","ofensivo"
"realmente Me encanta tu confiable en serio","limpio"
"muy Que comprensivo persona ya","limpio"
"realmente Que zangano tan grande por favor","ofensivo"
"a veces Qué maduro persona ya","limpio"
"realmente Eres un autentico zorra ya","ofensivo"
"realmente Que cretino comentario ya","ofensivo"
"siempre Eres muy dedicado ya","limpio"
"a veces Vete a la mierda, zorra de verdad","ofensivo"
"un poco Tu trabajo es muy talentoso ya","limpio"
"realmente Qué considerado eres de verdad","limpio"
"a veces Me pareces un torpe hoy","ofensivo"
"tan Qué patético actitud tienes de verdad","ofensivo"
"a veces Eres un gilipollas de verdad","ofensivo"
"a veces Vete a la mierda, burro por favor","ofensivo"
"un poco Que subnormal actitud tienes de verdad","ofensivo"
"a veces Que inutil eres ya","ofensivo"
"Solo un manco diría eso por favor","ofensivo"
"Eres muy amable ya","limpio"
"un poco Tu trabajo es muy confiable de verdad","limpio"
"Gracias por ser tan amable en serio","limpio"
"siempre Solo un zorra diria eso por favor","ofensivo"
"a veces Eres muy dedicado de verdad","limpio"
"realmente Eres un gran apoyo","limpio"
"muy Gracias por ser tan optimista","limpio"
"un poco Gracias por tu comprension","limpio"
"muy Eres tan gilipollas ya","ofensivo"
"un poco Pareces un malparido por favor","ofensivo"
"un poco Me encanta tu amable por favor","limpio"
"a veces Eres muy paciente","limpio"
"un poco Qué considerado actitud en serio","limpio"
"Eres un mal ejemplo","ofensivo"
"Qué generoso persona","limpio"
"siempre Gracias por ser confiable de verdad","limpio"
"Pareces un cretino","ofensivo"
"tan Vete a la mierda, subnormal de verdad","ofensivo"
"siempre Qué patético eres de verdad","ofensivo"
"muy Gracias por ser tan talentoso hoy","limpio"
"tan Eres un cretino hoy","ofensivo"
"tan Eres tan patetico de verdad","ofensivo"
"realmente Eres un auténtico zorra por favor","ofensivo"
"un poco Qué dedicado detalle de verdad","limpio"
"un poco Qué idiota tan grande ya","ofensivo"
"un poco Que considerado eres por favor","limpio"
"a veces Que idiota eres de verdad","ofensivo"
"muy Eres una persona confiable","limpio"
"Me pareces un cabron de verdad","ofensivo"
"No eres más que un pendejo por favor","ofensivo"
"No eres mas que un malparido en serio","ofensivo"
"tan Tu simpatico es admirable en serio","limpio"
"realmente Solo un imbecil diria eso hoy","ofensivo"
"un poco Gracias por ser confiable","limpio"
"muy Gracias por ser tan responsable por favor","limpio"
"un poco Vete, manco","ofensivo"
"siempre Qué inútil persona en serio","ofensivo"
"siempre Me parece que eres muy optimista de verdad","limpio"
"Vete a la mierda, subnormal ya","ofensivo"
"tan Que malparido tan grande","ofensivo"
"realmente Me pareces un subnormal hoy","ofensivo"
"Tu confiable es admirable","limpio"
"realmente Menuda pendejo","ofensivo"
"muy Qué respetuoso persona por favor","limpio"
"Qué amable fuiste","limpio"
"realmente Eres un auténtico cretino por favor","ofensivo"
"un poco Vete a la mierda, tonto ya","ofensivo"
"realmente Que valiente eres de verdad","limpio"
"realmente Que dedicado detalle ya","limpio"
"a veces Me pareces un idiota por favor","ofensivo"
"Solo un pendejo diria eso por favor","ofensivo"
"siempre Tu optimista es admirable hoy","limpio"
"a veces Que respetuoso actitud","limpio"
"realmente No te soporto","ofensivo"
"Que comprensivo persona","limpio"
"Qué simpático detalle hoy","limpio"
"muy Que basura actitud tienes hoy","ofensivo"
"muy Qué dedicado persona en serio","limpio"
"tan Menuda imbecil en serio","ofensivo"
"un poco Tu trabajo es muy amable hoy","limpio"
"muy Me parece que eres muy maduro","limpio"
"un poco Vete a la mierda, cretino por favor","ofensivo"
"a veces Eres tan cabron hoy","ofensivo"
"siempre Qué patético comentario de verdad","ofensivo"
"realmente Eres un cero a la izquierda","ofensivo"
"muy Que responsable detalle ya","limpio"
"muy Gracias por ser optimista por favor","limpio"
"siempre Tu optimista es admirable en serio","limpio"
"No eres mas que un tonto ya","ofensivo"
"realmente Eres muy dedicado ya","limpio"
"a veces Que amable actitud hoy","limpio"
"a veces Pareces un gilipollas en serio","ofensivo"
"muy Me pareces un cerdo en serio","ofensivo"
"a veces Tu optimista es admirable","limpio"
"a veces Vete a la mierda, cabron de verdad","ofensivo"
"muy Que imbecil comentario ya","ofensivo"
"tan Eres tan gilipollas por favor","ofensivo"
"realmente Qué torpe tan grande ya","ofensivo"
"muy Pareces un pendejo","ofensivo"
"Que basura comentario de verdad","ofensivo"
"a veces No eres más que un manco","ofensivo"
"tan Que pendejo actitud tienes hoy","ofensivo"
"siempre Eres un auténtico cerdo de verdad","ofensivo"
"Me pareces un estupido en serio","ofensivo"
"muy Gracias por ser tan amable de verdad","limpio"
"siempre Que idiota persona hoy","ofensivo"
"siempre Pareces un cretino de verdad","ofensivo"
"realmente Me parece que eres muy responsable ya","limpio"
"tan Qué comprensivo actitud por favor","limpio"
"a veces Qué pendejo actitud tienes en serio","ofensivo"
"muy Que cretino persona hoy","ofensivo"
"Tu trabajo es muy confiable por favor","limpio"
"un poco Me encanta tu confiable hoy","limpio"
"muy Me pareces un subnormal de verdad","ofensivo"
"siempre Vete, basura ya","ofensivo"
"realmente Gracias por ser inspirador ya","limpio"
"realmente Qué inútil eres","ofensivo"
"tan Que feo comentario","ofensivo"
"a veces Qué tonto persona","ofensivo"
"muy Qué zángano eres hoy","ofensivo"
"un poco Eres un autentico patetico ya","ofensivo"
"Que zorra actitud tienes por favor","ofensivo"
"realmente Me parece que eres muy confiable ya","limpio"
"tan Solo un gilipollas diría eso hoy","ofensivo"
"realmente Eres un autentico zorra por favor","ofensivo"
"a veces Que gilipollas tan grande","ofensivo"
"muy Eres tan patetico por favor","ofensivo"
"un poco Me pareces un torpe de verdad","ofensivo"
"un poco Eres un autentico torpe de verdad","ofensivo"
"Eres un auténtico malparido en serio","ofensivo"
"muy Que comentario tan tonto","ofensivo"
"muy Eres muy considerado de verdad","limpio"
"realmente Me parece que eres muy optimista en serio","limpio"
"Eres tan burro ya","ofensivo"
"a veces Me encanta tu confiable en serio","limpio"
"tan Qué subnormal eres de verdad","ofensivo"
"un poco Vete a la mierda, cerdo por favor","ofensivo"
"a veces Qué amable eres en serio","limpio"
"Qué imbecil persona de verdad","ofensivo"
"siempre Que gilipollas eres hoy","ofensivo"
"muy Gracias por ser responsable en serio","limpio"
"tan Eres tan zángano","ofensivo"
"muy Tu trabajo es muy valiente ya","limpio"
"realmente Solo un cretino diria eso de verdad","ofensivo"
"a veces Qué alegría tan contagiosa","limpio"
"siempre Que amable actitud","limpio"
"un poco Que tonto comentario hoy","ofensivo"
"Solo un imbecil diria eso de verdad","ofensivo"
"siempre Tu trabajo es muy comprensivo en serio","limpio"
"a veces Eres tan cerdo por favor","ofensivo"
"a veces Menuda zángano hoy","ofensivo"
"a veces Qué confiable detalle hoy","limpio"
"Tu talentoso es admirable hoy","limpio"
"tan Me encanta tu simpatico por favor","limpio"
"siempre Eres muy simpatico ya","limpio"
"Me parece que eres muy respetuoso hoy","limpio"
"realmente Me encanta tu talentoso por favor","limpio"
"Qué simpático persona hoy","limpio"
"realmente Qué cretino eres en serio","ofensivo"
"un poco Eres un cabron hoy","ofensivo"
"Qué responsable detalle de verdad","limpio"
"a veces Qué cerdo persona de verdad","ofensivo"
"un poco Tu talentoso es admirable en serio","limpio"
"a veces Me parece que eres muy inspirador en serio","limpio"
"tan Que tonto comentario por favor","ofensivo"
"Que inutil comentario hoy","ofensivo"
"realmente Que tonto comentario por favor","ofensivo"
"muy Menuda manco","ofensivo"
"un poco Eres muy talentoso","limpio"
"realmente Que cerdo actitud tienes ya","ofensivo"
"tan Qué considerado actitud hoy","limpio"
"siempre Vete a la mierda, zángano ya","ofensivo"
"siempre Me encanta tu inteligente ya","limpio"
"tan No eres más que un idiota hoy","ofensivo"
"un poco Vete, basura hoy","ofensivo"
"Gracias por ser simpático por favor","limpio"
"Qué subnormal comentario en serio","ofensivo"
"un poco Me parece que eres muy responsable ya","limpio"
"un poco Gracias por ser tan inspirador hoy","limpio"
"siempre Vete a la mierda, torpe","ofensivo"
"Menuda inútil ya","ofensivo"
"un poco Menuda cerdo hoy","ofensivo"
"realmente Qué zorra comentario de verdad","ofensivo"
"muy No eres mas que un cabron de verdad","ofensivo"
"a veces Eres lo peor","ofensivo"
"tan Que subnormal comentario en serio","ofensivo"
"muy Tu trabajo es muy amable de verdad","limpio"
"a veces Qué generoso detalle","limpio"
"siempre Gracias por tu consejo","limpio"
"Me pareces un pendejo de verdad","ofensivo"
"tan Eres un auténtico cerdo","ofensivo"
"un poco Que imbecil comentario hoy","ofensivo"
"a veces Tu confiable es admirable hoy","limpio"
"a veces Tu valiente es admirable por favor","limpio"
"siempre Vete, inutil","ofensivo"
"a veces Eres muy responsable por favor","limpio"
"realmente Pareces un idiota ya","ofensivo"
"a veces Que inteligente persona por favor","limpio"
"siempre Qué inteligente detalle ya","limpio"
"a veces Me pareces un cerdo de verdad","ofensivo"
"muy Que optimista eres ya","limpio"
"tan Vete, zángano por favor","ofensivo"
"un poco Que ridiculo eres","ofensivo"
"muy Qué basura persona hoy","ofensivo"
"un poco Eres un fracaso","ofensivo"
"realmente Eres un basura de verdad","ofensivo"
"muy Vete, malparido de verdad","ofensivo"
"tan No eres más que un manco en serio","ofensivo"
"siempre Qué gilipollas persona","ofensivo"
"muy Que feo comentario","ofensivo"
"Solo un malparido diria eso","ofensivo"
"un poco Que talentoso detalle de verdad","limpio"
"tan Qué cabron eres en serio","ofensivo"
"muy Eres un cabron en serio","ofensivo"
"muy Qué subnormal eres hoy","ofensivo"
"siempre Que gilipollas tan grande","ofensivo"
"un poco Tu talentoso es admirable en serio","limpio"
"realmente Gracias por ser tan inteligente hoy","limpio"
"Qué bueno contar contigo","limpio"
"muy Que gilipollas comentario ya","ofensivo"
"Me parece que eres muy optimista en serio","limpio"
"siempre Me parece que eres muy inteligente hoy","limpio"
"muy Me parece que eres muy amable de verdad","limpio"
"No eres más que un subnormal hoy","ofensivo"
"tan Me parece que eres muy maduro de verdad","limpio"
"realmente Pareces un gilipollas de verdad","ofensivo"
"a veces Menuda cretino","ofensivo"
"muy Qué inútil tan grande ya","ofensivo"
"siempre Tu comportamiento es estúpido","ofensivo"
"tan Que inteligente actitud","limpio"
"muy Tu inspirador es admirable en serio","limpio"
"un poco Me parece que eres muy valiente por favor","limpio"
"tan No eres mas que un zorra por favor","ofensivo"
"realmente Que dedicado detalle hoy","limpio"
"realmente Pareces un inutil por favor","ofensivo"
"a veces Qué burro eres por favor","ofensivo"
"tan Qué imbecil comentario por favor","ofensivo"
"a veces Menuda malparido de verdad","ofensivo"
"un poco Qué comprensivo actitud en serio","limpio"
"realmente Eres tan basura ya","ofensivo"
"tan Qué maduro eres","limpio"
"muy Eres un autentico cerdo de verdad","ofensivo"
"realmente Vete, imbecil de verdad","ofensivo"
"muy Vete a la mierda, zangano en serio","ofensivo"
"tan Tu simpatico es admirable de verdad","limpio"
"a veces Eres un auténtico malparido ya","ofensivo"
"Vete, zangano hoy","ofensivo"
"muy Que considerado actitud","limpio"
"un poco Pareces un idiota por favor","ofensivo"
"realmente Eres un subnormal en serio","ofensivo"
"tan Que confiable eres de verdad","limpio"
"tan Eres tan torpe por favor","ofensivo"
"muy Eres un auténtico idiota por favor","ofensivo"
"realmente Vete a la mierda, tonto","ofensivo"
"realmente Solo un tonto diría eso en serio","ofensivo"
"a veces Tu respetuoso es admirable por favor","limpio"
"siempre Eres muy confiable de verdad","limpio"
"realmente Que imbecil actitud tienes ya","ofensivo"
"tan Solo un pendejo diria eso ya","ofensivo"
"un poco Eres un tonto","ofensivo"
"siempre Menuda inútil ya","ofensivo"
"a veces Que responsable eres","limpio"
"siempre Eres muy comprensivo en serio","limpio"
"tan Qué confiable detalle ya","limpio"
"a veces Eres tan subnormal en serio","ofensivo"
"siempre Que confiable detalle en serio","limpio"
"muy Eres tan torpe de verdad","ofensivo"
"Eres un basura por favor","ofensivo"
"siempre Que considerado persona hoy","limpio"
"a veces Que buena idea","limpio"
"muy Eres muy considerado hoy","limpio"
"tan Gracias por ser tan comprensivo hoy","limpio"
"Eres un auténtico zángano de verdad","ofensivo"
"un poco Me pareces un imbecil por favor","ofensivo"
"tan Qué dedicado persona ya","limpio"
"tan Que considerado detalle por favor","limpio"
"tan Qué pendejo actitud tienes de verdad","ofensivo"
"a veces Que talentoso detalle hoy","limpio"
"a veces Qué basura persona hoy","ofensivo"
"un poco Que dedicado actitud por favor","limpio"
"realmente Me parece que eres muy considerado por favor","limpio"
"tan Eres muy amable hoy","limpio"
"un poco Qué simpático actitud de verdad","limpio"
"muy subnormal","ofensivo"
"a veces Que buen desempeno","limpio"
"Qué maduro eres hoy","limpio"
"a veces Qué pendejo tan grande ya","ofensivo"
"a veces Qué inteligente persona por favor","limpio"
"a veces Qué simpático actitud","limpio"
"siempre Vete a la mierda, basura de verdad","ofensivo"
"tan Eres muy comprensivo de verdad","limpio"
"muy Eres un manco","ofensivo"
"muy Gracias por ser tan inteligente por favor","limpio"
"a veces Me pareces un manco","ofensivo"
"a veces No eres más que un zángano ya","ofensivo"
"a veces Me encanta tu inteligente","limpio"
"muy Gracias por ser optimista ya","limpio"
"muy Tu trabajo es muy confiable de verdad","limpio"
"siempre Gracias por ser tan inteligente de verdad","limpio"
"realmente Que burro comentario hoy","ofensivo"
"tan Que patetico tan grande ya","ofensivo"
"No eres más que un subnormal","ofensivo"
"un poco Vete a la mierda, idiota","ofensivo"
"muy Menuda subnormal en serio","ofensivo"
"Solo un burro diria eso de verdad","ofensivo"
"a veces Eres tan subnormal en serio","ofensivo"
"un poco Me pareces un burro hoy","ofensivo"
"Eres muy valiente","limpio"
"realmente Me parece que eres muy amable hoy","limpio"
"a veces Me pareces un zorra hoy","ofensivo"
"muy Tu trabajo es muy simpático hoy","limpio"
"realmente Vete, torpe","ofensivo"
"tan Eres tan burro hoy","ofensivo"
"realmente Eres tan torpe ya","ofensivo"
"tan Vete a la mierda, burro en serio","ofensivo"
"un poco Vete, burro","ofensivo"
"tan Qué valiente persona hoy","limpio"
"siempre Qué cerdo comentario de verdad","ofensivo"
"tan Vete a la mierda, cretino de verdad","ofensivo"
"Solo un burro diria eso en serio","ofensivo"
"siempre Que malparido actitud tienes de verdad","ofensivo"
"realmente Que respetuoso detalle ya","limpio"
"realmente Me encanta tu optimista hoy","limpio"
"Que confiable detalle hoy","limpio"
"muy Que simpatico eres","limpio"
"Tu forma de ser apesta","ofensivo"
"Qué idiota eres de verdad","ofensivo"
"un poco Vete, patetico","ofensivo"
"siempre Qué cerdo comentario ya","ofensivo"
"muy Que amable actitud de verdad","limpio"
"siempre Vete a la mierda, manco de verdad","ofensivo"
"siempre Vete, cretino","ofensivo"
"Eres tan zángano por favor","ofensivo"
"tan No eres mas que un subnormal","ofensivo"
"un poco Gracias por ser talentoso hoy","limpio"
"a veces Menuda inutil hoy","ofensivo"
"Eres muy comprensivo","limpio"
"a veces Solo un cretino diría eso hoy","ofensivo"
"realmente Qué maduro actitud ya","limpio"
"realmente Que dedicado actitud ya","limpio"
"siempre Tu existencia molesta","ofensivo"
"siempre Vete, cretino hoy","ofensivo"
"siempre Que inspirador eres","limpio"
"a veces Qué amable actitud en serio","limpio"
"realmente Eres un burro ya","ofensivo"
"siempre Qué bonito detalle","limpio"
"a veces Qué comprensivo eres de verdad","limpio"
"a veces Pareces un pendejo","ofensivo"
"realmente Eres tan torpe de verdad","ofensivo"
"tan Qué alegría tan contagiosa","limpio"
"un poco Me encanta tu talentoso ya","limpio"
"un poco Que inutil eres en serio","ofensivo"
"tan Vete, zángano de verdad","ofensivo"
"realmente Qué inspirador detalle de verdad","limpio"
"Eres un autentico gilipollas hoy","ofensivo"
"muy Gracias por ser tan maduro hoy","limpio"
"Eres un buen amigo","limpio"
"Que idiota eres hoy","ofensivo"
"siempre Qué amable persona por favor","limpio"
"un poco Tu trabajo es muy valiente por favor","limpio"
"realmente Eres muy responsable de verdad","limpio"
"Vete a la mierda, manco de verdad","ofensivo"
"realmente Qué optimista eres","limpio"
"siempre Me caes fatal","ofensivo"
"Me parece que eres muy talentoso por favor","limpio"
"tan Vete a la mierda, subnormal por favor","ofensivo"
"siempre Tu confiable es admirable de verdad","limpio"
"muy Qué cabron persona de verdad","ofensivo"
"Pareces un basura hoy","ofensivo"
"tan Vete, idiota hoy","ofensivo"
"muy Menuda zangano hoy","ofensivo"
"a veces Gracias por ser tan confiable de verdad","limpio"
"siempre Que cerdo eres de verdad","ofensivo"
"muy Menuda inutil de verdad","ofensivo"
"siempre Eres una inspiración","limpio"
"Qué imbecil tan grande por favor","ofensivo"
"un poco Qué burro actitud tienes en serio","ofensivo"
"tan Me encanta tu comprensivo ya","limpio"
"siempre Qué responsable persona ya","limpio"
"siempre Qué bueno contar contigo","limpio"
"muy Que comprensivo persona","limpio"
"Menuda gilipollas hoy","ofensivo"
"realmente Me pareces un cerdo en serio","ofensivo"
"un poco Buen trabajo en equipo","limpio"
"Qué pendejo actitud tienes ya","ofensivo"
"Que tonto comentario hoy","ofensivo"
"a veces Que considerado actitud","limpio"
"tan Pareces un gilipollas en serio","ofensivo"
"a veces Qué linda persona","limpio"
"a veces Todo lo haces mal","ofensivo"
"un poco Eres un basura ya","ofensivo"
"realmente Eres tan imbécil por favor","ofensivo"
"tan Eres un cabron","ofensivo"
"siempre Qué tonto actitud tienes en serio","ofensivo"
"muy Eres muy responsable ya","limpio"
"siempre Que tonto persona por favor","ofensivo"
"Que inutil comentario en serio","ofensivo"
"siempre Me parece que eres muy inteligente en serio","limpio"
"a veces Que torpe comentario en serio","ofensivo"
"siempre No eres mas que un pendejo","ofensivo"
"realmente Vete, imbecil hoy","ofensivo"
"siempre Que tonto tan grande ya","ofensivo"
"siempre Eres un auténtico gilipollas hoy","ofensivo"
"siempre Que inteligente persona por favor","limpio"
"Qué simpático eres","limpio"
"Eres tan pendejo en serio","ofensivo"
"siempre Menuda idiota ya","ofensivo"
"muy Gracias por ser tan generoso por favor","limpio"
"siempre Gracias por ser tan maduro hoy","limpio"
"Eres un gilipollas","ofensivo"
"realmente Eres un gran profesional","limpio"
"a veces Vete, zangano en serio","ofensivo"
"Vete a la mierda, torpe ya","ofensivo"
"un poco Qué considerado persona de verdad","limpio"
"siempre Qué tonto tan grande por favor","ofensivo"
"siempre No eres mas que un idiota hoy","ofensivo"
"a veces Vete, cabron en serio","ofensivo"
"un poco Eres muy amable hoy","limpio"
"Me encanta tu simpático por favor","limpio"
"siempre Pareces un patetico en serio","ofensivo"
"un poco Eres muy considerado ya","limpio"
"siempre Qué zángano eres","ofensivo"
"siempre Tu talentoso es admirable hoy","limpio"
"un poco Eres una gran ayuda","limpio"
"Que optimista detalle por favor","limpio"
"tan Vete, patetico hoy","ofensivo"
"Eres un autentico patetico de verdad","ofensivo"
"un poco Que basura actitud tienes","ofensivo"
"Qué gilipollas tan grande de verdad","ofensivo"
"muy Que respetuoso eres en serio","limpio"
"Eres un autentico estupido hoy","ofensivo"
"Gracias por ser tan comprensivo de verdad","limpio"
"a veces Que idiota persona por favor","ofensivo"
"Que respetuoso detalle en serio","limpio"
"a veces Nadie te respeta","ofensivo"
"Que manco comentario","ofensivo"
"siempre Eres tan estúpido","ofensivo"
"un poco Que cabron persona de verdad","ofensivo"
"muy Solo un cerdo diría eso en serio","ofensivo"
"a veces Eres un estupido de verdad","ofensivo"
"realmente Qué tonto comentario hoy","ofensivo"
"Eres un gilipollas en serio","ofensivo"
"realmente Vete, zorra en serio","ofensivo"
"siempre Qué imbécil persona por favor","ofensivo"
"a veces Que simpatico actitud por favor","limpio"
"a veces Eres muy respetuoso por favor","limpio"
"siempre Eres muy dedicado ya","limpio"
"tan Menuda burro ya","ofensivo"
"un poco Eres tan tonto en serio","ofensivo"
"muy Qué optimista eres ya","limpio"
"Qué valiente actitud en serio","limpio"
"realmente Qué tonto eres ya","ofensivo"
"Qué burro eres por favor","ofensivo"
"Solo un zangano diria eso de verdad","ofensivo"
"a veces Qué optimista eres por favor","limpio"
"muy Menuda imbecil por favor","ofensivo"
"Que responsable persona hoy","limpio"
"Pareces un cretino de verdad","ofensivo"
"un poco Tu inteligente es admirable","limpio"
"a veces Gracias por ser valiente ya","limpio"
"Tu inteligente es admirable","limpio"
"muy Tu trabajo es muy inteligente hoy","limpio"
"Tu respetuoso es admirable de verdad","limpio"
"tan Que inspirador detalle ya","limpio"
"un poco Me alegra verte feliz","limpio"
"muy Eres increíble","limpio"
"muy Me parece que eres muy inspirador en serio","limpio"
"un poco Menuda imbecil ya","ofensivo"
